label;text
guilt;guilti pleasur
joy;dai feel close partner friend feel peac also experi close contact peopl regard greatli
fear;everi time imagin someon love could contact seriou ill even death
guilt;innoc proven guilti
shame;live tell truth shame devil
anger;obvious unjustli treat possibl elucid thi
sadness;think short time live relat period life think not us short time
guilt;white guilt
guilt;written face
disgust;gather found involuntarili sit next two peopl express opinion consid veri low discrimin
shame;realiz direct feel discont partner wai try put blame instead sort feeli
guilt;feel guilti realiz consid materi thing import care rel feel veri self center
joy;girlfriend taken exam went parent s place
fear;when first time realiz mean death
anger;car overtak anoth forc drive road
guilt;blame game
fear;fear loath la vega
sadness;recent thought hard work take studi on want try someth els read theoret book english not understand
disgust;found bristl liver past tube
fear;fear mind killer
shame;tire unmotiv shout girlfriend brought neg side charact actual not import
guilt;think not studi enough weekend think should abl accomplish someth time
joy;pass examin not think well
fear;on arrang meet someon person arriv late meantim on start think could gone wrong e g traffic accid
anger;on unjustli accus someth on not done
sadness;on s studi seem hopelessli difficult uninterest
disgust;on find someon know not like on thought instanc friend steal thing like that quit unwarr
fear;make skin creep
shame;on unjust stupid toward someon els
guilt;on neglect unjust good friend
joy;pass exam not expect pass
fear;climb tree pick appl angl ladder not enabl get high enough impli ladder not veri stabl
guilt;excus necessari get myself
joy;children
fear;year old son climb sat floor balconi leg hang out hold tightli upper rail balconi could easili lost balanc sat down
anger;partner attack lost three teeth
sadness;see children t v area devast drought war
disgust;nearli walk blindworm saw crawl awai
shame;saw year old son grab oxygen mask breath difficulti bad conscienc not stop smoke medic dilat breath tube also caus sens guilt me
guilt;experi sens guilt middl son cannot express like children neither verbal write
joy;child born
fear;spring ic melt far jetti poke ic long branch try break it branch went ic fell in water close head
anger;unjust accus direct wai act someon close me
sadness;fail examin
disgust;drunkard fell start bleed wet himself disgust turn sad unpleas
shame;when adult caught ly behav badli
guilt;environ person much wors me realiz privileg am
joy;saw person not seen long time
fear;when child nearli knock car
anger;heard radio footbal match belgium end catastroph sever peopl di could not understand normal peopl could behav wai
sadness;feel lone perhap studi lot shut appart noth happen particular time anyth els
disgust;on learn mass media war kill go world
shame;li precis cancel meet good friend
guilt;on let friend
joy;accept cours financ account
fear;bu drove right leg event not veri frighten wait emerg ward three hour leg began swell frighten
anger;summer job nobodi look particular learn own
sadness;not accept student financ account
disgust;move new appart found ventil kitchen go clean found drum full mud slime felt disgust
shame;elder brother not alwai good relationship feel asham not call talk nowadai
guilt;summer job new caretak emploi ag prefer go lunch account personnel rather him
joy;pass exam point
fear;cottag larg forest alon dark
sadness;railwai station good bye
disgust;saw crippl rag small children itali probabl impost
shame;told friend go parti would not enjoi came along understood would not fit someth that
guilt;reason behind break up friend s relationship girlfriend finish him
joy;pass exam absolut certain fail
fear;wai back denmark friend small yatch storm friend blown overboard veri scare till manag get back onboard
anger;lock out
sadness;miss last tram home walk pour rain
disgust;found worm food obvious eaten some
shame;friend intox polic came took awai later contact parent
guilt;hapen overhear someth not meant hear
joy;trip greec competit
fear;dark suspici look charact come toward me
anger;work elderli man complain unjustifi distrust me
sadness;not understood anyth lectur
disgust;alcohol stood dribbl food counter
shame;friend discuss good look gui realiz listen
guilt;complain colleagu manag told someon complain colleagu came believ like her
joy;friend s birthdai parti closest friend veri pleasant on could sai happi good friend
fear;wai home on fridai night heavi rain car acquaplan lost contact road surfac second
anger;mad dad
sadness;case unrequit love
disgust;bad smell cucumb
shame;nearli caught masturb
guilt;not help enough home
joy;felt veri happi footbal pool
fear;flew athen copenhagen holidai plane caught storm began shake thouhght go crash
anger;someon stole bike
sadness;saw list book read acccout cours thought god ever manaag it
disgust;read newspap articl futur foresaw would eat frog burger year illustr show frog two piec bread
shame;drop bottl state liquor store everybobi start laugh
guilt;young pinch store caught store contact parent
joy;whole famili get togeth on week holidai everybodi feel free trip well plan work well enjoi ourselv
fear;could not find year old daughter ran look everywher could not find her final found her gone bed sleep
anger;friend try put hurt me
sadness;marriag crise boredom
disgust;someon make advanc on not want
shame;discoveri on thought oneself
guilt;spank child anger later regret terribl
joy;pass first examin repeat
fear;drove stockholm first time drove stora hissingen road wrong exit
anger;boyfriend went awai month long holidai without me
sadness;last year work summer holidai studi time examin repeat boyfriend went greec holidai month
disgust;dog left whine outsid shop
shame;promis help friend weekend not keep promis
guilt;realiz three examin take
joy;dai told accept student econom
fear;take short cut vasa park surround three peopl tri steal monei scare save appear peopl
anger;restaur observ gypsi tri get monei cheat foreign i e non swedish speak anger noth hatr foreign express anger feel see peopl us
sadness;begin new cours on afraid encount problem on not manag thought revolv around fail subject consequ would futur
disgust;walk town notic polic harrass man influenc alcohol terrifi thought arrest drive close behind pedestrian street disgust direct gestur facial express policemen seem enjoi themselv
shame;boyfriend reveal knew discov thing import natur him felt asham not mention earlier
guilt;dishonest friend veri close feel guilti know give differ version truth not correct mistak awar know wrong
